"","X","Precio","Superficie_Terreno","Superficie_Habitacional","Agno_Construccion","Antiguedad_Promedio","Avaluo_Fiscal","Avaluo_Fiscal_Unitario","Barrio","Calidad_Habitacional","IPV_General","Latitud","Longitud","Tipo_Comprador_Simple","Tipo_Vendedor_Simple","Trimestre","Valor_Unitario_Terreno","Valor_Unitario_Construccion_Habitacional_Promedio","Fecha_Transaccion","Precio_Unitario"
"29",29,19200,448,173,1960,48.8022976211221,12092.9171372334,26.993118609896,"parque_bicentenario",3,175.239428171678,-33.401674,-70.590826,"Persona","Empresa","T3",19.3632990222968,15.1877464631883,"2017-07-29",42.8571428571429
"30",30,26500,448,173,1960,49.8022976211221,12092.9171372334,26.993118609896,"parque_bicentenario",3,193.660026564027,-33.401674,-70.590826,"Persona","Persona","T4",19.3632990222968,15.1877464631883,"2018-11-29",59.1517857142857
"31",31,17123,448,137,1960,59,11521.6295053403,25.7179230029917,"parque_bicentenario",3,194.959351316001,-33.401799,-70.590337,"Persona","Empresa","T1",19.3632990222968,15.1877464631883,"2019-03-24",38.2209821428571
"32",32,26600,448,149,1954,63.9492567073635,11681.4218966797,26.0746024479458,"parque_bicentenario",3,219.441437334406,-33.401841,-70.59017,"Persona","Persona","T3",19.3632990222968,15.1877464631883,"2021-08-21",59.375
"33",33,21000,265,194,1957,61.9999999999998,7753.78471169049,29.2595649497754,"parque_bicentenario",3,200.769821018205,-33.401927,-70.589674,"Persona","Persona","T3",19.3632990222968,15.1877464631883,"2019-07-04",79.2452830188679
"34",34,22000,518,165,1964,54.9999999999998,14015.6656125972,27.0572695223884,"parque_bicentenario",2,194.111243994392,-33.401616,-70.591713,"Persona","Persona","T2",19.3632990222968,22.2538283518063,"2019-05-26",42.4710424710425
"35",35,23500,473,237,1953,47.2667610108188,13423.6086283114,28.3797222585865,"parque_bicentenario",3,206.729659496211,-33.401685,-70.591556,"Persona","Persona","T4",19.3632990222968,15.0661632558079,"2020-10-09",49.6828752642706
"36",36,14448,228,133,1954,64,5798.34632635281,25.4313435366351,"parque_bicentenario",3,181.339206495466,-33.401771,-70.591358,"Empresa","Persona","T1",19.3632990222968,15.1877464631883,"2018-02-07",63.3684210526316
"37",37,17450,416,150,1954,80.4933333333331,10778.1720822174,25.9090675053303,"parque_bicentenario",3,219.627440182518,-33.402074,-70.590253,"Empresa","Persona","T2",19.3632990222968,15.1877464631883,"2021-05-06",41.9471153846154
"38",38,24500,416,202,1957,50.9306930693072,11667.4803007325,28.0468276459916,"parque_bicentenario",3,215.258330269028,-33.402116,-70.590088,"Persona","Empresa","T1",19.3632990222968,15.1877464631883,"2021-01-10",58.8942307692308
"39",39,17700,416,157,1958,61.7174905384982,10725.7846794231,25.7831362486132,"parque_bicentenario",3,215.258330269028,-33.402158,-70.589922,"Empresa","Persona","T1",19.3632990222968,14.8874141165265,"2021-01-16",42.5480769230769
"40",40,17065,476,280,1979,33.0733462246474,14820.7254686845,31.1359778753876,"parque_bicentenario",2,141.696082456564,-33.40163,-70.591,"Persona","Persona","T1",19.3632990222968,21.6172648406025,"2014-03-22",35.8508403361345
"41",41,21500,558,161,1969,49,15007.9313994385,26.8959344075959,"parque_bicentenario",2.31055900621118,190.549339228614,-33.401212,-70.589749,"Persona","Persona","T3",19.3632990222968,20.1610048092008,"2018-09-22",38.5304659498208
"42",42,9952,243,138,1958,63,6786.10441741151,27.9263556272079,"parque_bicentenario",3,219.441437334406,-33.401162,-70.589615,"Persona","Empresa","T3",19.3632990222968,15.1877464631883,"2021-09-01",40.9547325102881
"43",43,13308,563,197,1952,66.9999999999998,14133.9611822787,25.1047267891274,"parque_bicentenario",3.18274111675127,200.769821018205,-33.401521,-70.589778,"Persona","Persona","T3",19.3632990222968,13.6726332842982,"2019-08-09",23.6376554174067
"44",44,16350,643,309,1969,27.6580281117319,20552.7765157626,31.9638826061627,"parque_bicentenario",2,153.984522795154,-33.401653,-70.589546,"Persona","Persona","T1",19.3632990222968,22.0908677039279,"2015-01-17",25.4276827371695
